sample,yblock,ycat,moderator,ctrlspec,b_triple,se_triple,p_triple,N_model,rc
uv_urban,merged4,cat_property,pre_deal_cycle,ntl_only,0.020492502868846,0.55789571706373,0.970698876122479,998210,0
uv_urban,merged4,cat_property,pre_price_gap,ntl_dist,-0.101489408134874,1.02729381933723,0.921302669642842,998210,0
uv_urban,merged4,cat_property,pre_price_gap,ntl_only,-0.141827469047001,1.11620366649162,0.898891070070031,998210,0
uv_urban,merged4,cat_violent,pre_list_price,ntl_dist,0.0998822880998458,0.473534800715199,0.832942608552597,998210,0
uv_urban,merged4,cat_violent,pre_list_price,ntl_only,0.0653830274389052,0.475580104986987,0.890650971673103,998210,0
uv_urban,merged4,cat_violent,pre_deal_price,ntl_dist,-0.129293262754177,0.23607397486356,0.583910989527233,998210,0
uv_urban,merged4,cat_violent,pre_deal_price,ntl_only,-0.161540722061262,0.240074793411655,0.501025925951752,998210,0
uv_urban,merged4,cat_violent,pre_deal_cycle,ntl_dist,-0.475512919259101,0.294977096701211,0.106954997471615,998210,0
uv_urban,merged4,cat_violent,pre_deal_cycle,ntl_only,-0.532024658914928,0.288894737660578,0.0655359486024841,998210,0
uv_urban,merged4,cat_violent,pre_price_gap,ntl_dist,0.166941903490812,1.26583301563685,0.895076831858507,998210,0
uv_urban,merged4,cat_violent,pre_price_gap,ntl_only,0.380315490078415,1.43130253721948,0.790460413677887,998210,0
uv_urban,merged4,cat_corporate,pre_list_price,ntl_dist,0.017530970828124,0.30029849328547,0.953447164940572,953415,0
uv_urban,merged4,cat_corporate,pre_list_price,ntl_only,-0.00654509875781829,0.303959497712471,0.982820644238926,953415,0
uv_urban,merged4,cat_corporate,pre_deal_price,ntl_dist,0.078147739524527,0.237501128413577,0.742124354608613,953415,0
uv_urban,merged4,cat_corporate,pre_deal_price,ntl_only,0.0412173485328899,0.250627925648594,0.869371958078208,953415,0
uv_urban,merged4,cat_corporate,pre_deal_cycle,ntl_dist,0.00250571708256453,0.943027738746823,0.997879945610305,953415,0
uv_urban,merged4,cat_corporate,pre_deal_cycle,ntl_only,0.112690266392117,1.00133239072279,0.910395026759616,953415,0
uv_urban,merged4,cat_corporate,pre_price_gap,ntl_dist,-0.0320176202154423,3.27480921757059,0.992199255143468,953415,0
uv_urban,merged4,cat_corporate,pre_price_gap,ntl_only,-0.44089880582228,3.34118928076373,0.895017031013661,953415,0
uv_urban,merged4,cat_underground,pre_list_price,ntl_dist,0.2567582840412,0.158299503298833,0.104808412601147,996649,0
uv_urban,merged4,cat_underground,pre_list_price,ntl_only,0.199667261654468,0.146203773250205,0.172040392862922,996649,0
uv_urban,merged4,cat_underground,pre_deal_price,ntl_dist,0.412067931412174,0.209382625593729,0.0490667075935171,996649,0
uv_urban,merged4,cat_underground,pre_deal_price,ntl_only,0.420767060161353,0.193932075563529,0.0300326942151033,996649,0
uv_urban,merged4,cat_underground,pre_deal_cycle,ntl_dist,0.6804382027213,0.373454423861157,0.0684535615409397,996649,0
uv_urban,merged4,cat_underground,pre_deal_cycle,ntl_only,0.665658084104196,0.432527144790433,0.123805286359916,996649,0
uv_urban,merged4,cat_underground,pre_price_gap,ntl_dist,2.28322431274048,0.795841564550255,0.00411854289486839,996649,0
uv_urban,merged4,cat_underground,pre_price_gap,ntl_only,2.82017362265171,0.817100184013178,0.000557623371282963,996649,0
uv_urban,totalcrime,all,pre_list_price,ntl_dist,0.0354144783999518,0.118583986594835,0.765211221991422,998210,0
uv_urban,totalcrime,all,pre_list_price,ntl_only,-0.018948806968595,0.110966006508576,0.864410733428222,998210,0
uv_urban,totalcrime,all,pre_deal_price,ntl_dist,-0.0955014996258967,0.132377587560797,0.47064359923305,998210,0
uv_urban,totalcrime,all,pre_deal_price,ntl_only,-0.112248068374688,0.119647844850188,0.348165655179298,998210,0
uv_urban,totalcrime,all,pre_deal_cycle,ntl_dist,0.2008549460448,0.282216145514389,0.476646969526597,998210,0
uv_urban,totalcrime,all,pre_deal_cycle,ntl_only,0.19162319862672,0.283273516986337,0.498748801222824,998210,0
uv_urban,totalcrime,all,pre_price_gap,ntl_dist,0.86409967603575,0.835846995261304,0.301229333406711,998210,0
uv_urban,totalcrime,all,pre_price_gap,ntl_only,1.07711329691598,0.926167462257517,0.244838306132856,998210,0
uv_nonurban,merged4,cat_property,pre_list_price,ntl_dist,0.0419354707960903,0.0822908223967625,0.610331348843336,558191,0
uv_nonurban,merged4,cat_property,pre_list_price,ntl_only,0.0654504493596176,0.0702974511861574,0.351828048772502,558191,0
uv_nonurban,merged4,cat_property,pre_deal_price,ntl_dist,0.0113967498327531,0.131856617758983,0.931122325513029,558191,0
uv_nonurban,merged4,cat_property,pre_deal_price,ntl_only,0.0361872497450103,0.11279356167316,0.748341417404862,558191,0
uv_nonurban,merged4,cat_property,pre_deal_cycle,ntl_dist,-0.813552170353248,0.341775901133374,0.0172957239133214,558191,0
uv_nonurban,merged4,cat_property,pre_deal_cycle,ntl_only,-0.717293206387945,0.288892137460519,0.0130316884812607,558191,0
uv_nonurban,merged4,cat_property,pre_price_gap,ntl_dist,-0.586623396361165,0.883844095716132,0.506870974237776,558191,0
uv_nonurban,merged4,cat_property,pre_price_gap,ntl_only,-0.300410979172292,0.747857105403915,0.68790814750217,558191,0
uv_nonurban,merged4,cat_violent,pre_list_price,ntl_dist,-0.12488402961023,0.0809214955763728,0.122764902292801,563636,0
uv_nonurban,merged4,cat_violent,pre_list_price,ntl_only,-0.115052446718832,0.085830389432145,0.180095461163186,563636,0
