iter,b,se,p
1,-0.038799752288375,0.0695852861184133,0.577127403825948
2,0.0573944669094358,0.0511585193154091,0.261907254070785
3,-0.0460405023966272,0.0502261743653069,0.35931898140236
4,0.252376491018874,0.0529425436023139,1.87000075411988e-06
5,0.233283572966797,0.123935742720975,0.0597960341986513
6,0.0297919939443856,0.100958868003085,0.767924813970863
7,-0.158261988920499,0.15053348778496,0.29310212080666
8,-0.0805719624893404,0.055532161288765,0.146805954286669
9,0.127554128405725,0.0916405398626518,0.163953802311908
10,0.0479929374426642,0.0417040441260028,0.249815279998528
11,-0.205146973089033,0.0870713599891553,0.0184690063908996
12,-0.102219906382477,0.0603791243357551,0.0904616182768354
13,0.0536347746859889,0.0815090209479175,0.510523634330444
14,0.0432073277165813,0.0539491641473923,0.423195526806939
15,-0.119974991804664,0.0616193943030607,0.0515307830469831
16,0.363572322090417,0.0873194129159956,3.13123906952579e-05
17,-0.100948514273406,0.0644234687860498,0.117125799142019
18,-0.0784216038094565,0.0580986068675131,0.177079569086708
19,0.103105674758669,0.0559968026120149,0.0655808455812344
20,-0.159717729799214,0.0461477813566644,0.000538161613022671
21,0.136768308631508,0.0712266963178543,0.0548347576470417
22,0.0218963985182283,0.0372205731298077,0.556339323482739
23,-0.000843723910057725,0.0255968542847488,0.973704878335903
24,-0.0454862780914181,0.0556191233962487,0.413461551291845
25,0.110682485839965,0.0789777427379149,0.161082847959175
26,0.0151105865362305,0.0535989958573664,0.77800545975416
27,-0.0450676381563159,0.0481316639077687,0.349097774824157
28,0.111141485639881,0.0692404747817279,0.108460360896917
29,-0.0263462574891191,0.0635734285883914,0.67856473355318
30,0.0899534783181206,0.0703146491678387,0.20079169475251
31,-0.0871754381175772,0.0365108682683881,0.016956148638094
32,-0.0366268409053935,0.0624101615712486,0.557288981325243
33,-0.0767195273294125,0.0728482121895499,0.292275818865477
34,-0.0742363898301886,0.0657217953609088,0.25866373512463
35,0.076615529267893,0.0462805819512723,0.0978317622410651
36,0.00115716750689414,0.0675145718656629,0.986325309338263
37,0.0529489961746407,0.0759809337229936,0.485882812046176
38,0.112909347407474,0.0863666907802714,0.191102304487558
39,-0.0774927234379329,0.0666588451634484,0.245021365538324
40,-0.0602359285619463,0.0341360709815003,0.077633884406009
41,-0.0655933186025036,0.0477521980195531,0.169560046511859
42,-0.00780043954387479,0.0496555766396616,0.875173204217024
43,0.0817362628282534,0.110230432739746,0.45838814912974
44,0.0100155543780667,0.0554439969956514,0.856648022413226
45,-0.0948768973041714,0.0805944469102959,0.239110171067723
46,-0.0267916488319182,0.0534373371392008,0.616113763035162
47,0.0322724545207545,0.0720221934144712,0.65408794542309
48,0.240992874942901,0.156939404053152,0.124641633790776
49,0.000213110128866006,0.088670112054597,0.998082362659369
50,0.0423797592924553,0.0333356945514309,0.203620973615989
51,-0.151309751016357,0.0842854901141562,0.0726210106334745
52,0.140395976274607,0.0589229687176305,0.0171860203152356
53,0.000990622050891396,0.0508540131044533,0.984458413269871
54,-0.0748781015553002,0.0400987040859052,0.0618534704074598
55,-0.0187146790573782,0.0493669070954185,0.704618350789445
56,0.0131735286980991,0.0582750564873812,0.821156497318503
57,0.00391364731263508,0.0254137549588331,0.877611936889611
58,0.0536099696997788,0.0652919015360236,0.411599870948222
59,-0.105077052028389,0.0344474567420264,0.0022856924925805
60,-0.00958474089635398,0.071143436201304,0.892829956921265
61,0.285803411523073,0.129221001105518,0.0269845522922626
62,-0.0857488520281433,0.0447499177555204,0.0553423171983326
63,-0.0082690002028993,0.0680903069877992,0.903341217736122
64,0.130106900458161,0.100302069984348,0.19457933920393
65,0.0299309323419388,0.0341695571364087,0.38105548549981
66,0.0941325161699156,0.125261132453938,0.45235768352818
67,-0.0174004803963522,0.03980224480814,0.661985640902184
68,-0.0618230547086866,0.0417876894325976,0.13901843893735
69,0.0157339088434916,0.0497600876048102,0.751854228955321
70,0.043767076952274,0.0712355233096011,0.538951300735805
71,-0.0240858889714688,0.0455935095610203,0.597308820024364
72,0.00509800277102236,0.0698446382131087,0.941813589456846
73,0.00041000710021051,0.0670494676506884,0.995120971011966
74,0.133675716452065,0.0879604281811676,0.128579949176412
75,-0.161849097465777,0.0679992619287177,0.0173051401902299
76,-0.0450588397423749,0.0643662498082971,0.483903389519004
77,0.00864165694560639,0.0325559549513481,0.790670424524391
78,0.038583959052991,0.0791536002174293,0.625934664399719
79,-0.101452243856937,0.0669988952304581,0.12996559778547
80,-0.132493327037749,0.0608039733970156,0.0293298734983407
81,0.00128937812183929,0.0713566933683985,0.98558342788735
82,0.000615079003364941,0.0453986325960226,0.989190268542792
83,-0.0726438234941795,0.0800781919642711,0.364321592897299
84,0.0171221536903608,0.0270980571803138,0.527478959121082
85,-0.108393976765283,0.115885292454917,0.349604983756029
86,0.0795480689281588,0.071110381513848,0.26328683911962
87,0.0706846825117603,0.0735681108564425,0.336649719883366
88,-0.0177459121408865,0.053462291599715,0.739939663456973
89,0.0468001449386717,0.0424297409672706,0.270025725589051
90,-0.0203093094458388,0.0449361212746534,0.65129811829956
91,0.0103961888549714,0.0844114985986955,0.901979755385668
92,0.0267771974360559,0.095952905842605,0.780194144540555
93,0.0548271444051431,0.0565536473160073,0.33231003639001
94,0.0310652345929708,0.0619586090178563,0.61609886101029
95,0.0732418889491796,0.0868679784973777,0.399150011277304
96,-0.0175437375450304,0.0508056741890566,0.729860882909319
97,0.0207484884481578,0.046340292530647,0.654339512482827
98,0.140833570709353,0.0733203083388981,0.0547570598786685
99,-0.0280038064577765,0.070448613933222,0.69099373782596
100,0.0839485771490674,0.092812567480876,0.365732562283389
101,-0.123561407391228,0.0686589327364107,0.0719173956347858
102,-0.00586021024003087,0.117659170611732,0.960276459810163
